Location	Group	Cycle	C
4E	KONTROLA	20.00	17.11456
4E	KONTROLA	20.23	14.15947
8E	KONTROLA	20.44	11.81177
8E	KONTROLA	20.48	11.50018
4F	KONTROLA	21.75	3.95853
4F	KONTROLA	21.62	4.39726
8F	KONTROLA	20.49	11.31545
8F	KONTROLA	21.00	7.38745
4G	KONTROLA	21.93	3.40573
4G	KONTROLA	22.04	3.08845
8G	KONTROLA	20.25	13.90487
8G	KONTROLA	20.37	12.52716
12E	7-NI	22.37	2.34251
12E	7-NI	22.34	2.41312
16E	7-NI	21.26	5.95049
16E	7-NI	21.19	6.30851
12F	7-NI	21.26	5.96875
12F	7-NI	21.22	6.13656
16F	7-NI	21.22	6.16197
16F	7-NI	21.02	7.25604
12G	7-NI	20.56	10.68197
12G	7-NI	20.77	9.00758
16G	7-NI	20.18	14.79208
16G	7-NI	20.29	13.39401
20E	L-NAME	21.70	4.11790
20E	L-NAME	21.53	4.76731
20F	L-NAME	22.81	1.61957
20F	L-NAME	22.88	1.53530
24F	L-NAME	21.02	7.26887
24F	L-NAME	20.39	12.38936
20G	L-NAME	19.17	34.33113
20G	L-NAME	18.88	43.84351
24G	L-NAME	20.78	8.88702
24G	L-NAME	21.28	5.86549

